# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
   7.045140150      0.4557841180E+23  0.4992857730E+26  0.1811856270E+23 -0.3740829813E+24  0.1658984050E+24  0.2429752412E+23 -0.5001471131E+26  0.3924593054E+24 -0.2412455737E+24
   7.046140150     -0.6943049766E+22  0.5341996292E+26 -0.1112160811E+23 -0.4383138639E+24  0.1815342797E+24 -0.2869640085E+22 -0.5328437029E+26  0.4480677038E+24 -0.2487194891E+24
   7.047140150     -0.2641411522E+22  0.5702380101E+26  0.1009844866E+23 -0.4739241856E+24  0.2110928930E+24  0.9661828318E+22 -0.5685709678E+26  0.5216145815E+24 -0.1722864728E+24
   7.048140150     -0.3169697926E+23  0.6063827959E+26  0.3076469242E+23 -0.4714582082E+24  0.2553653661E+24 -0.1968154632E+23 -0.6068743767E+26  0.4772482126E+24 -0.2636308575E+24
   7.049140150     -0.7081881705E+23  0.6472683995E+26  0.5480632900E+23 -0.5133713889E+24  0.2552126649E+24 -0.2302744248E+23 -0.6465350271E+26  0.4561968055E+24 -0.1491658457E+24
   7.050140150     -0.1120315861E+23  0.6883190128E+26  0.2558812846E+23 -0.4980015476E+24  0.2166878777E+24  0.1778452036E+23 -0.6886201944E+26  0.5202622059E+24 -0.3136916398E+24
   7.051140150      0.1142718742E+24  0.7312135448E+26 -0.7505916491E+23 -0.5685871588E+24  0.1902653513E+24  0.6685542325E+22 -0.7311198529E+26  0.4978260080E+24 -0.2490977418E+24
   7.052140150      0.8141100016E+23  0.7778558263E+26 -0.9100319237E+23 -0.5643079585E+24  0.2501067523E+24  0.3268664302E+20 -0.7793557102E+26  0.6680357023E+24 -0.2697518606E+24
   7.053140150      0.6118842984E+22  0.8287879981E+26 -0.2325682408E+23 -0.5957153358E+24  0.2419285305E+24  0.3385683408E+21 -0.8290583738E+26  0.5971638262E+24 -0.2639377936E+24
   7.054140150     -0.2362180800E+23  0.8803385474E+26  0.3004852739E+23 -0.6444000035E+24  0.2708984056E+24 -0.9801242969E+22 -0.8802196000E+26  0.6493459300E+24 -0.2518264120E+24
