# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -6.041357147     -0.3269635591E+25  0.4990255703E+26  0.2915445481E+25  0.8986295157E+24  0.2634979569E+25 -0.6981946772E+24 -0.4485436331E+26  0.3837057313E+25 -0.6187874310E+25
  -6.040357147     -0.1648574073E+25  0.5478963480E+26  0.3369464153E+25  0.6628198494E+24  0.2710459116E+25 -0.7271914961E+24 -0.4647819291E+26  0.3996892352E+25 -0.6435095384E+25
  -6.039357147     -0.1715872614E+25  0.5702499281E+26  0.3506969185E+25  0.6898617600E+24  0.2821035338E+25 -0.7568735029E+24 -0.4837442552E+26  0.4160042688E+25 -0.6697614713E+25
  -6.038357147     -0.1785919238E+25  0.5935152342E+26  0.3650085453E+25  0.7180065824E+24  0.2936120955E+25 -0.7877672512E+24 -0.5034799669E+26  0.4329854150E+25 -0.6970839176E+25
  -6.037357147     -0.1858826226E+25  0.6177294298E+26  0.3799041917E+25  0.7472992697E+24  0.3055899723E+25 -0.8199222262E+24 -0.5240205865E+26  0.4506598817E+25 -0.7255204951E+25
  -6.036357147     -0.1934710456E+25  0.6429311909E+26  0.3954076879E+25  0.7777866051E+24  0.3180562875E+25 -0.8533899351E+24 -0.5453989197E+26  0.4690559896E+25 -0.7551165959E+25
  -6.035357147     -0.2013693583E+25  0.6691607680E+26  0.4115438364E+25  0.8095172756E+24  0.3310309425E+25 -0.8882239902E+24 -0.5676491069E+26  0.4882032169E+25 -0.7859194582E+25
  -6.034357147     -0.2095902244E+25  0.6964600500E+26  0.4283384513E+25  0.8425419498E+24  0.3445346478E+25 -0.9244801950E+24 -0.5908066784E+26  0.5081322472E+25 -0.8179782410E+25
  -6.033357147     -0.2181468254E+25  0.7248726301E+26  0.4458184000E+25  0.8769133578E+24  0.3585889567E+25 -0.9622166337E+24 -0.6149086100E+26  0.5288750191E+25 -0.8513441023E+25
  -6.032357147     -0.2270528826E+25  0.7544438760E+26  0.4640116458E+25  0.9126863753E+24  0.3732162986E+25 -0.1001493765E+25 -0.6399933819E+26  0.5504647769E+25 -0.8860702796E+25
  -6.031357147     -0.2363226787E+25  0.7852210009E+26  0.4829472928E+25  0.9499181102E+24  0.3884400149E+25 -0.1042374519E+25 -0.6661010398E+26  0.5729361250E+25 -0.9222121744E+25
  -6.030357147     -0.2459710810E+25  0.8172531388E+26  0.5026556324E+25  0.9886679934E+24  0.4042843961E+25 -0.1084924398E+25 -0.6932732585E+26  0.5963250827E+25 -0.9598274397E+25
  -6.029357147     -0.2560135656E+25  0.8505914225E+26  0.5231681915E+25  0.1028997873E+25  0.4207747197E+25 -0.1129211583E+25 -0.7215534073E+26  0.6206691430E+25 -0.9989760709E+25
  -6.028357147     -0.2664662421E+25  0.8852890644E+26  0.5445177831E+25  0.1070972111E+25  0.4379372906E+25 -0.1175307042E+25 -0.7509866195E+26  0.6460073326E+25 -0.1039720501E+26
  -6.027357147     -0.2773458799E+25  0.9214014408E+26  0.5667385588E+25  0.1114657689E+25  0.4557994826E+25 -0.1223284645E+25 -0.7816198633E+26  0.6723802750E+25 -0.1082125699E+26
