# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.687851084     -0.9850347198E+22  0.2263176242E+26  0.9031292825E+22 -0.2377883641E+24 -0.6176439818E+23 -0.3749556225E+21 -0.2261307247E+26  0.2437605907E+24  0.6300535303E+23
  -4.686851084     -0.2147071267E+21  0.2412353268E+26  0.6534473696E+21 -0.2516059157E+24 -0.6515194977E+23 -0.4037543889E+21 -0.2413485104E+26  0.2631238799E+24  0.6013998786E+23
  -4.685851084      0.7181535834E+22  0.2572190750E+26 -0.8015422421E+22 -0.2664964782E+24 -0.6755087376E+23  0.3332472809E+21 -0.2571188855E+26  0.2537822171E+24  0.7427822442E+23
  -4.684851084      0.9660077334E+22  0.2739420897E+26 -0.8118773222E+22 -0.2825155830E+24 -0.7015533844E+23  0.2091446207E+21 -0.2739494225E+26  0.2816674130E+24  0.6977964154E+23
  -4.683851084     -0.2427895201E+23  0.2915374198E+26  0.2247026890E+23 -0.3005589047E+24 -0.7305005860E+23  0.1049849943E+21 -0.2914391796E+26  0.3017812099E+24  0.6663185784E+23
  -4.682851084      0.2878255409E+22  0.3099191985E+26 -0.1943077906E+22 -0.3167529225E+24 -0.7660753837E+23 -0.5548228127E+21 -0.3098880051E+26  0.3279185081E+24  0.8293028978E+23
  -4.681851084      0.1244098027E+23  0.3290931533E+26 -0.1042360243E+23 -0.3346168187E+24 -0.7987598684E+23  0.4861205937E+21 -0.3291377960E+26  0.3309507858E+24  0.8110321943E+23
  -4.680851084      0.6444287515E+22  0.3496212802E+26 -0.8427990856E+22 -0.3535715162E+24 -0.8198882122E+23  0.4777206730E+21 -0.3496123264E+26  0.3392110031E+24  0.8217071727E+23
  -4.679851084     -0.1366953359E+23  0.3711919526E+26  0.1165849491E+23 -0.3749637885E+24 -0.8574194695E+23 -0.2212869298E+20 -0.3709880996E+26  0.3790301030E+24  0.8617048345E+23
  -4.678851084     -0.1354553898E+23  0.3932192605E+26  0.1658914596E+23 -0.3951898078E+24 -0.8975448862E+23 -0.7463018786E+21 -0.3931204194E+26  0.4114816633E+24  0.8016752518E+23
  -4.677851084      0.9058729077E+22  0.4167806172E+26 -0.5805320779E+22 -0.4157026328E+24 -0.9295726109E+23  0.1174502507E+21 -0.4169205578E+26  0.4074342141E+24  0.9306827212E+23
  -4.676851084      0.2544263300E+23  0.4415616762E+26 -0.2871602015E+23 -0.4382408677E+24 -0.9551993287E+23  0.1371903383E+21 -0.4415365773E+26  0.4432643469E+24  0.1062216934E+24
  -4.675851084     -0.7721232995E+22  0.4675715283E+26  0.8052041177E+22 -0.4626649835E+24 -0.9918106881E+23  0.2919085138E+21 -0.4673460810E+26  0.4496255476E+24  0.1087765197E+24
  -4.674851084     -0.2253852878E+23  0.4945816420E+26  0.2209459456E+23 -0.4885566887E+24 -0.1029288980E+24 -0.6162890188E+21 -0.4943974522E+26  0.5037880518E+24  0.1079454187E+24
  -4.673851084     -0.4829105004E+22  0.5227134113E+26  0.7438675724E+22 -0.5130860830E+24 -0.1080320086E+24 -0.3234028451E+21 -0.5228099677E+26  0.5201889854E+24  0.9290383745E+23
  -4.672851084      0.1468296131E+23  0.5524803618E+26 -0.1184346631E+23 -0.5387953835E+24 -0.1115140192E+24  0.6212914124E+21 -0.5525681153E+26  0.5215934460E+24  0.1220909255E+24
  -4.671851084      0.1197524259E+23  0.5837395567E+26 -0.1287331175E+23 -0.5670974275E+24 -0.1142276673E+24  0.4126326221E+21 -0.5837995062E+26  0.5650077771E+24  0.1253422284E+24
  -4.670851084     -0.1349507222E+23  0.6162733354E+26  0.1000945768E+23 -0.5973924189E+24 -0.1180083039E+24  0.8993389935E+20 -0.6161979411E+26  0.5974436068E+24  0.9851700970E+23
  -4.669851084     -0.2051788552E+23  0.6505548938E+26  0.2144714282E+23 -0.6283808975E+24 -0.1233611910E+24 -0.5636729232E+21 -0.6504802302E+26  0.6379409994E+24  0.1298257589E+24
  -4.668851084      0.7725712747E+22  0.6857028557E+26 -0.4540144781E+22 -0.6579122663E+24 -0.1273574397E+24  0.2225658843E+21 -0.6861226955E+26  0.6605912322E+24  0.1107341436E+24
  -4.667851084      0.1783048667E+23  0.7234180476E+26 -0.1935549919E+23 -0.6908112511E+24 -0.1312379206E+24  0.1119733665E+22 -0.7234296571E+26  0.6740612013E+24  0.1416886440E+24
  -4.666851084      0.7743458330E+22  0.7628246624E+26 -0.1293087787E+23 -0.7266329558E+24 -0.1350264255E+24  0.1583785752E+21 -0.7629642941E+26  0.7358227580E+24  0.1288855792E+24
  -4.665851084     -0.2096846882E+23  0.8034910728E+26  0.2169883727E+23 -0.7635728995E+24 -0.1401746144E+24 -0.2044994927E+21 -0.8031986175E+26  0.7614846980E+24  0.1486339663E+24
  -4.664851084     -0.1772498008E+23  0.8460600552E+26  0.1963089690E+23 -0.8005114140E+24 -0.1451983700E+24 -0.8551244108E+21 -0.8462511836E+26  0.8133346048E+24  0.1255930568E+24
  -4.663851084      0.4261872077E+22  0.8909807251E+26 -0.1824813458E+22 -0.8385469091E+24 -0.1509265946E+24 -0.7037391990E+21 -0.8910386113E+26  0.8375432277E+24  0.1574865648E+24
  -4.662851084      0.1548694232E+23  0.9376329182E+26 -0.1959208658E+23 -0.8777104588E+24 -0.1545488045E+24  0.1595784453E+22 -0.9377175666E+26  0.8492490618E+24  0.1565740607E+24
  -4.661851084      0.3108507869E+22  0.9864776684E+26  0.2199415061E+22 -0.9215968850E+24 -0.1586048263E+24  0.1728888751E+19 -0.9864407947E+26  0.9204346486E+24  0.1634648230E+24
  -4.660851084     -0.1267154673E+23  0.1037661265E+27  0.6665145788E+22 -0.9671743275E+24 -0.1641998151E+24 -0.5619858325E+21 -0.1037611297E+27  0.9874653288E+24  0.1468606127E+24
  -4.659851084     -0.3402443557E+23  0.1090859722E+27  0.3204413484E+23 -0.1013600268E+25 -0.1704446838E+24 -0.1394587931E+22 -0.1090733310E+27  0.1024623826E+25  0.1706932206E+24
  -4.658851084      0.2692975578E+22  0.1146267197E+27  0.7886147472E+22 -0.1059083509E+25 -0.1763796315E+24  0.8798279711E+21 -0.1146448160E+27  0.1046773168E+25  0.1827429287E+24
  -4.657851084      0.2032043912E+23  0.1204607146E+27 -0.2159770533E+23 -0.1107712556E+25 -0.1814500333E+24  0.1037508714E+22 -0.1204522907E+27  0.1085862934E+25  0.1847781514E+24
  -4.656851084      0.1025187857E+23  0.1265624538E+27 -0.1587524968E+23 -0.1160362342E+25 -0.1852819610E+24  0.3637426972E+21 -0.1265599632E+27  0.1153612084E+25  0.1991411672E+24
  -4.655851084     -0.1810785559E+23  0.1329275697E+27  0.1349040020E+23 -0.1216998355E+25 -0.1918790609E+24  0.1071742107E+22 -0.1329274082E+27  0.1203714442E+25  0.1808459794E+24
  -4.654851084     -0.3069048110E+23  0.1394565582E+27  0.3737865899E+23 -0.1273728925E+25 -0.1991918641E+24 -0.2811433282E+22 -0.1394304472E+27  0.1319935675E+25  0.1954128818E+24
  -4.653851084     -0.5348208516E+22  0.1464168349E+27  0.4858502952E+22 -0.1329390771E+25 -0.2050116834E+24 -0.1299733867E+21 -0.1464408608E+27  0.1313004052E+25  0.2098561002E+24
  -4.652851084      0.1032405388E+23  0.1536550812E+27 -0.8590415845E+22 -0.1390572433E+25 -0.2121761265E+24  0.2823370262E+22 -0.1536598449E+27  0.1355767785E+25  0.2160730607E+24
  -4.651851084      0.2583302692E+23  0.1611874970E+27 -0.2719599769E+23 -0.1452742410E+25 -0.2166597372E+24  0.1390651388E+20 -0.1611955600E+27  0.1450843551E+25  0.2196547585E+24
  -4.650851084      0.1018388413E+23  0.1690568235E+27 -0.1233361701E+23 -0.1521290855E+25 -0.2215322794E+24 -0.1614007356E+21 -0.1690465639E+27  0.1534091356E+25  0.2311813882E+24
